"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","253","Create user","LMS service","2026-08-19","passed","2026-08-19","Create entity","Users","",""
"","255","Delete file","LMS service","2026-08-19","passed","2026-08-19","Delete entity","Files","",""
"","23","Create course","LMS service","2026-08-19","passed","2026-08-19","Create entity","Courses","",""
"","232","Create file with empty directory","LMS service","2026-08-19","passed","2026-08-19","Validate entity","Files","",""
"","245","Get exercise","LMS service","2026-08-19","passed","2026-08-19","Get entity","Exercises","",""
"","234","Get file with incorrect file id","LMS service","2026-08-19","passed","2026-08-19","Validate entity","Files","",""
"","11","Get exercises","LMS service","2026-08-19","passed","2026-08-19","Get entities","Exercises","",""
"","13","Create file with empty filename","LMS service","2026-08-19","passed","2026-08-19","Validate entity","Files","",""
"","490","Create user","LMS service","2026-08-19","passed","2026-08-19","Create entity","Users","",""
"","481","Login with correct email and password","LMS service","2026-08-19","passed","2026-08-19","Login","Authentication","",""
"","473","Create user","LMS service","2026-08-19","passed","2026-08-19","Create entity","Users","",""
"","460","Delete exercise","LMS service","2026-08-19","passed","2026-08-19","Delete entity","Exercises","",""
"","252","Create exercise","LMS service","2026-08-19","passed","2026-08-19","Create entity","Exercises","",""
"","24","Update course","LMS service","2026-08-19","passed","2026-08-19","Update entity","Courses","",""
"","245","Get file","LMS service","2026-08-19","passed","2026-08-19","Get entity","Files","",""
"","16","Update exercise","LMS service","2026-08-19","passed","2026-08-19","Update entity","Exercises","",""
"","9","Get user me","LMS service","2026-08-19","passed","2026-08-19","Get entity","Users","",""
"","1051","Create file","LMS service","2026-08-19","passed","2026-08-19","Create entity","Files","",""
"","17","Get courses","LMS service","2026-08-19","passed","2026-08-19","Get entities","Courses","",""
