"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11","Get exercise","LMS service","2026-08-18","passed","2026-08-18","Get entity","Exercises","",""
"","489","Create user","LMS service","2026-08-18","passed","2026-08-18","Create entity","Users","",""
"","234","Create file","LMS service","2026-08-18","passed","2026-08-18","Create entity","Files","",""
"","484","Create user","LMS service","2026-08-18","passed","2026-08-18","Create entity","Users","",""
"","247","Login with correct email and password","LMS service","2026-08-18","passed","2026-08-18","Login","Authentication","",""
"","15","Create exercise","LMS service","2026-08-18","passed","2026-08-18","Create entity","Exercises","",""
"","18","Get courses","LMS service","2026-08-18","passed","2026-08-18","Get entities","Courses","",""
"","10","Get file","LMS service","2026-08-18","passed","2026-08-18","Get entity","Files","",""
"","21","Delete file","LMS service","2026-08-18","passed","2026-08-18","Delete entity","Files","",""
"","10","Get exercises","LMS service","2026-08-18","passed","2026-08-18","Get entities","Exercises","",""
"","24","Create course","LMS service","2026-08-18","passed","2026-08-18","Create entity","Courses","",""
"","485","Create user","LMS service","2026-08-18","passed","2026-08-18","Create entity","Users","",""
"","19","Update exercise","LMS service","2026-08-18","passed","2026-08-18","Update entity","Exercises","",""
"","200","Update course","LMS service","2026-08-18","passed","2026-08-18","Update entity","Courses","",""
"","233","Create file with empty filename","LMS service","2026-08-18","passed","2026-08-18","Validate entity","Files","",""
"","10","Get user me","LMS service","2026-08-18","passed","2026-08-18","Get entity","Users","",""
"","10","Get file with incorrect file id","LMS service","2026-08-18","passed","2026-08-18","Validate entity","Files","",""
"","21","Delete exercise","LMS service","2026-08-18","passed","2026-08-18","Delete entity","Exercises","",""
"","13","Create file with empty directory","LMS service","2026-08-18","passed","2026-08-18","Validate entity","Files","",""
